PostingDate,PostingDate1,Transaction,MerchantName,TransactionAmount,AmountNumber,ExplanationCategory
2015-03-13T00:00:00Z,20150313,20150313_MAPLIN_ROTHERHAM_S63_9369,MAPLIN_ROTHERHAM_S63,936.9,9369,Electronic Equipment
2015-03-13T00:00:00Z,20150313,20150313_NEOPOST_7725,NEOPOST,772.5,7725,Stationery
2015-03-13T00:00:00Z,20150313,20150313_MAPLIN_ROTHERHAM_S63_6900,MAPLIN_ROTHERHAM_S63,690.0,6900,Electronic Equipment
2015-06-03T00:00:00Z,20150603,20150603_Amazon_UK_Marketplace_82047,Amazon_UK_Marketplace,820.47,82047,Educational+Learning+Training-Equipment or Supplies
2015-05-03T00:00:00Z,20150503,20150503_CIVIL_SERVICE_LEARNING_7644,CIVIL_SERVICE_LEARNING,764.4,7644,Educational+Learning+Training-Equipment or Supplies
2015-05-03T00:00:00Z,20150503,20150503_Amazon_Svcs_Europe_63996,Amazon_Svcs_Europe,639.96,63996,Educational+Learning+Training-Equipment or Supplies
2015-12-03T00:00:00Z,20151203,20151203_TRAVIS_PERKINS_62754,TRAVIS_PERKINS,627.54,62754,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-06-03T00:00:00Z,20150603,20150603_BRANDON_HIRE_074_68274,BRANDON_HIRE_074,682.74,68274,Estates-Industrial supplies+equipment
2015-03-31T00:00:00Z,20150331,20150331_ANIMED_DIRECT_11037,ANIMED_DIRECT,1103.7,11037,Dogs-Vet Treatment Prison Service (Sniffer Dogs)
2015-03-30T00:00:00Z,20150330,20150330_MY_CHUBB_157135,MY_CHUBB,1571.35,157135,Health and Safety Supplies-Fire
2015-03-30T00:00:00Z,20150330,20150330_MY_CHUBB_159384,MY_CHUBB,1593.84,159384,Estates-Services for Building+Electrical+Plumbing
2015-03-27T00:00:00Z,20150327,20150327_MANCHESTER_7500,MANCHESTER,750.0,7500,Staff Training
2015-03-19T00:00:00Z,20150319,20150319_BRIDGEWATER_GLASS_5940,BRIDGEWATER_GLASS,594.0,5940,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-03-19T00:00:00Z,20150319,20150319_SCREWFIX_DIRECT_61658,SCREWFIX_DIRECT,616.58,61658,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-03-19T00:00:00Z,20150319,20150319_SCREWFIX_DIRECT_63823,SCREWFIX_DIRECT,638.23,63823,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-03-19T00:00:00Z,20150319,20150319_SCREWFIX_DIRECT_71317,SCREWFIX_DIRECT,713.17,71317,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-09-03T00:00:00Z,20150903,20150903_PLUMB_CENTER_DBC_50652,PLUMB_CENTER_DBC,506.52,50652,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-05-03T00:00:00Z,20150503,20150503_BYBROOK_FURNITUREEVEN_5000,BYBROOK_FURNITUREEVEN,500.0,5000,Catering Supplies+Food
2015-03-16T00:00:00Z,20150316,20150316_BSS_LIVERPOOL_64982,BSS_LIVERPOOL,649.82,64982,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-03-16T00:00:00Z,20150316,20150316_BSS_LIVERPOOL_53446,BSS_LIVERPOOL,534.46,53446,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-03-18T00:00:00Z,20150318,20150318_R_SWAIN_AND_SONS_L_6600,R_SWAIN_AND_SONS_L,660.0,6600,Estates-Industrial supplies+equipment
2015-03-30T00:00:00Z,20150330,20150330_RENAULT_DURHAM_79087,RENAULT_DURHAM,790.87,79087,Vehicle-New or Repairs and Maintenance
2015-03-30T00:00:00Z,20150330,20150330_COMMERCIAL_REPAIRS_85806,COMMERCIAL_REPAIRS,858.06,85806,Vehicle-New or Repairs and Maintenance
2015-03-25T00:00:00Z,20150325,20150325_DETECTNOLOGY_LTD_9300,DETECTNOLOGY_LTD,930.0,9300,Security Equipment
2015-03-25T00:00:00Z,20150325,20150325_BEVERAGES_DIRECT_LTD_64682,BEVERAGES_DIRECT_LTD,646.82,64682,Catering Supplies+Food
2015-03-30T00:00:00Z,20150330,20150330_PLUMB_CENTER_ME_59071,PLUMB_CENTER_ME,590.71,59071,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-03-25T00:00:00Z,20150325,20150325_ASHWOOD_VETERINARY_CLI_50938,ASHWOOD_VETERINARY_CLI,509.38,50938,Dogs-Vet Treatment Prison Service (Sniffer Dogs)
2015-11-03T00:00:00Z,20151103,20151103_CENTRAL_GARAGE_88288,CENTRAL_GARAGE,882.88,88288,Vehicle-MOT & Service
2015-03-18T00:00:00Z,20150318,20150318_NEWTON_LE_WILLOWS_BLIN_5000,NEWTON_LE_WILLOWS_BLIN,500.0,5000,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-10-03T00:00:00Z,20151003,20151003_JEWSON_LTD_5028,JEWSON_LTD,502.8,5028,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-04-03T00:00:00Z,20150403,20150403_SPORTSDIRECT.COM_69625,SPORTSDIRECT.COM,696.25,69625,Educational+Learning+Training-Equipment or Supplies
2015-03-20T00:00:00Z,20150320,20150320_ELMBRIDGE_TYRE_SERV_LTD_5340,ELMBRIDGE_TYRE_SERV_LTD,534.0,5340,Vehicle-New or Repairs and Maintenance
2015-03-19T00:00:00Z,20150319,20150319_IMPERIAL_COMMERCIA_51274,IMPERIAL_COMMERCIA,512.74,51274,Vehicle-New or Repairs and Maintenance
2015-03-18T00:00:00Z,20150318,20150318_A_2_B_WINSCREENS_7140,A_2_B_WINSCREENS,714.0,7140,Vehicle-New or Repairs and Maintenance
2015-05-03T00:00:00Z,20150503,20150503_RAJAPACK_LTD_78192,RAJAPACK_LTD,781.92,78192,Prison -Operational items
2015-03-25T00:00:00Z,20150325,20150325_JEWSON_LTD_54649,JEWSON_LTD,546.49,54649,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-03-24T00:00:00Z,20150324,20150324_G_J_JOHNSON_SONS_LTD_65462,G_J_JOHNSON_SONS_LTD,654.62,65462,Estates-Services for Building+Electrical+Plumbing
2015-03-24T00:00:00Z,20150324,20150324_G_J_JOHNSON_SONS_LTD_64262,G_J_JOHNSON_SONS_LTD,642.62,64262,Estates-Services for Building+Electrical+Plumbing
2015-03-19T00:00:00Z,20150319,20150319_B_Q_55038,B_Q,550.38,55038,Educational+Learning+Training-Equipment or Supplies
2015-06-03T00:00:00Z,20150603,20150603_ALSFORD_TIMBER_LTD_58512,ALSFORD_TIMBER_LTD,585.12,58512,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-03-20T00:00:00Z,20150320,20150320_COMMEND_UK_LTD_7200,COMMEND_UK_LTD,720.0,7200,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-03-17T00:00:00Z,20150317,20150317_ISD_TELFORD_59976,ISD_TELFORD,599.76,59976,Estates-Industrial supplies+equipment
2015-09-03T00:00:00Z,20150903,20150903_TRAVIS_PERKINS_85383,TRAVIS_PERKINS,853.83,85383,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-04-03T00:00:00Z,20150403,20150403_MIDLAND_JETTING_SERVIC_75551,MIDLAND_JETTING_SERVIC,755.51,75551,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-02-03T00:00:00Z,20150203,20150203_BOILER_SPARES_88_6912,BOILER_SPARES_88,691.2,6912,Estates-Industrial supplies+equipment
2015-03-16T00:00:00Z,20150316,20150316_EE_MONMOUTH_51209,EE_MONMOUTH,512.09,51209,Assistance for prisoners working outside the establishment
2015-03-20T00:00:00Z,20150320,20150320_DORSET_GARDEN_MACHINER_221039,DORSET_GARDEN_MACHINER,2210.39,221039,Gardening Equipment+Services+Supplies for prisoners to gain recognised qualifications in horticulture
2015-03-20T00:00:00Z,20150320,20150320_ROMAN_GLASS_LTD_87237,ROMAN_GLASS_LTD,872.37,87237,Estates-Services for Building+Electrical+Plumbing
2015-03-20T00:00:00Z,20150320,20150320_PRINTERBASE_7200,PRINTERBASE,720.0,7200,IT equipment
2015-03-20T00:00:00Z,20150320,20150320_ROMAN_GLASS_LTD_8500,ROMAN_GLASS_LTD,850.0,8500,Estates-Services for Building+Electrical+Plumbing
2015-03-19T00:00:00Z,20150319,20150319_BSS_BOURNEMOUTH_62546,BSS_BOURNEMOUTH,625.46,62546,Estates-Services for Building+Electrical+Plumbing
2015-10-03T00:00:00Z,20151003,20151003_MATRIX_ARCHITECTURAL_I_9792,MATRIX_ARCHITECTURAL_I,979.2,9792,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-10-03T00:00:00Z,20151003,20151003_MATRIX_ARCHITECTURAL_I_6642,MATRIX_ARCHITECTURAL_I,664.2,6642,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-03-26T00:00:00Z,20150326,20150326_PETLIFE_INTERNATIONAL_72677,PETLIFE_INTERNATIONAL,726.77,72677,Health and Safety Supplies
2015-03-25T00:00:00Z,20150325,20150325_CD_(LEEDS)_PLUMBERS_M_64421,CD_(LEEDS)_PLUMBERS_M,644.21,64421,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-03-20T00:00:00Z,20150320,20150320_HARRISON_PACKAGING_LTD_6000,HARRISON_PACKAGING_LTD,600.0,6000,Health and Safety Supplies
2015-03-20T00:00:00Z,20150320,20150320_ABBEYVETERINARYLTD_51833,ABBEYVETERINARYLTD,518.33,51833,Dogs-Vet Treatment Prison Service (Sniffer Dogs)
2015-04-03T00:00:00Z,20150403,20150403_T_F_AUTOMATION_25485,T_F_AUTOMATION,2548.5,25485,Estates-Services for Building+Electrical+Plumbing
2015-03-03T00:00:00Z,20150303,20150303_MANCHESTER_PANEL_6960,MANCHESTER_PANEL,696.0,6960,Items for offender workshops+industries
2015-06-03T00:00:00Z,20150603,20150603_CASHMASTER_5544,CASHMASTER,554.4,5544,Items for offender workshops+industries
2015-03-19T00:00:00Z,20150319,20150319_KINGS_CROSS_CONTRACTS_120096,KINGS_CROSS_CONTRACTS,1200.96,120096,Estates-Industrial supplies+equipment
2015-03-23T00:00:00Z,20150323,20150323_Amazon_Svcs_Europe_12950,Amazon_Svcs_Europe,1295.0,12950,Educational+Learning+Training-Equipment or Supplies
2015-03-23T00:00:00Z,20150323,20150323_VALLEY_TRACTION_SERVIC_26640,VALLEY_TRACTION_SERVIC,2664.0,26640,Vehicle-Transport
2015-03-19T00:00:00Z,20150319,20150319_Amazon_Svcs_Europe_12950,Amazon_Svcs_Europe,1295.0,12950,Educational+Learning+Training-Equipment or Supplies
2015-12-03T00:00:00Z,20151203,20151203_RADIO_LINKS_COMMUNICAT_6336,RADIO_LINKS_COMMUNICAT,633.6,6336,Electronic Equipment
2015-09-03T00:00:00Z,20150903,20150903_MOLES_SEEDS_LTD_62004,MOLES_SEEDS_LTD,620.04,62004,Gardening Equipment+Services+Supplies for prisoners to gain recognised qualifications in horticulture
2015-03-31T00:00:00Z,20150331,20150331_BKP_WASTE_RECYLCLING_6948,BKP_WASTE_RECYLCLING,694.8,6948,Waste disposal products+services including Chemical
2015-03-16T00:00:00Z,20150316,20150316_BKP_WASTE_RECYLCLING_6948,BKP_WASTE_RECYLCLING,694.8,6948,Waste disposal products+services including Chemical
2015-10-03T00:00:00Z,20151003,20151003_SRBE_LTD_5550,SRBE_LTD,555.0,5550,Estates-Industrial supplies+equipment
2015-04-03T00:00:00Z,20150403,20150403_TRACKS_DIRECT_54435,TRACKS_DIRECT,544.35,54435,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-03-03T00:00:00Z,20150303,20150303_INTERCOUNTY_TRUCK_VA_53262,INTERCOUNTY_TRUCK_VA,532.62,53262,Vehicle-New or Repairs and Maintenance
2015-11-03T00:00:00Z,20151103,20151103_MICHAEL_WILLIAMS_ENGIN_5000,MICHAEL_WILLIAMS_ENGIN,500.0,5000,Offender-PPE
2015-11-03T00:00:00Z,20151103,20151103_MICHAEL_WILLIAMS_ENGIN_5320,MICHAEL_WILLIAMS_ENGIN,532.0,5320,Offender-PPE
2015-05-03T00:00:00Z,20150503,20150503_Amazon_Svcs_Europe_11775,Amazon_Svcs_Europe,1177.5,11775,Cleaning & Hygiene supplies
2015-03-26T00:00:00Z,20150326,20150326_Amazon_Svcs_Europe_53143,Amazon_Svcs_Europe,531.43,53143,ICT equipment
2015-03-03T00:00:00Z,20150303,20150303_LARKFIELD_GLASS_ENGRAV_9822,LARKFIELD_GLASS_ENGRAV,982.2,9822,Staff-Reward and Recognition
2015-04-03T00:00:00Z,20150403,20150403_UK_BANK_AGENCY_14760,UK_BANK_AGENCY,1476.0,14760,Cross departmental charges
2015-03-27T00:00:00Z,20150327,20150327_CIVIL_SERVICE_LEARNING_5280,CIVIL_SERVICE_LEARNING,528.0,5280,Staff-Learing and Development
2015-03-26T00:00:00Z,20150326,20150326_Hotel_Accommodation_52614,Hotel_Accommodation,526.14,52614,Hotels are used by senior judges in exceptional circumstances who require appropriate accommodation when hearing long cases far from home and where no alternative is available.
2015-03-24T00:00:00Z,20150324,20150324_PANEL_WAREHOUSE_71232,PANEL_WAREHOUSE,712.32,71232,Witness privacy screens
2015-03-23T00:00:00Z,20150323,20150323_Hotel_Accommodation_75553,Hotel_Accommodation,755.53,75553,Hotels are used by senior judges in exceptional circumstances who require appropriate accommodation when hearing long cases far from home and where no alternative is available.
2015-03-23T00:00:00Z,20150323,20150323_Hotel_Accommodation_125457,Hotel_Accommodation,1254.57,125457,Hotels are used by senior judges in exceptional circumstances who require appropriate accommodation when hearing long cases far from home and where no alternative is available.
2015-03-20T00:00:00Z,20150320,20150320_EYE_NETWORK_7699,EYE_NETWORK,769.9,7699,ICT equipment
2015-03-25T00:00:00Z,20150325,20150325_BAR_PROFESSIONAL_TRA_5360,BAR_PROFESSIONAL_TRA,536.0,5360,Professional Subscriptions and Membership Fees
