Posting Date,Merchant Name,"Transaction 
Amount","Explanation Category: 
See Guidance Sheet and use drop down list"
25/03/2015,COLLIER&CATCHPOLE,846.84,Items for offender workshops/industries
25/03/2015,COLLIER&CATCHPOLE,751.80,Items for offender workshops/industries
20/03/2015,WORM CITY LTD,912.00,Items for offender workshops/industries
19/03/2015,PETER CHILD WOODTU,753.85,Educational/Learning/Training - Equipment or Supplies
19/03/2015,WORM CITY LTD,912.00,Waste disposal products/services including Chemical
11/03/2015,CLAYTON-FIRSTAID.,536.22,Health and Safety Supplies
09/03/2015,WHITTON & FROST & SON,678.00,Educational/Learning/Training - Equipment or Supplies
04/03/2015,JAYAR CAR PARTS,954.00,Educational/Learning/Training - Equipment or Supplies
03/03/2015,JEWSON LTD,966.21,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
27/03/2015,APT CONTROLS LTD,500.00,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
26/03/2015,APT CONTROLS LTD,500.00,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
23/03/2015,HILLCREST CARS,502.68,Vehicle - MOT & Service
23/03/2015,OXFORD CITY COUNCIL,852.60,Estates - Industrial supplies/equipment
20/03/2015,OXFORD CITY COUNCIL,852.60,Estates - Industrial supplies/equipment
05/03/2015,ABC DIRECT,510.30,Estates - Industrial supplies/equipment
03/03/2015,BARNES PLASTIC WEL,526.78,Estates - Industrial supplies/equipment
02/03/2015,NCP LTD SSN TCKTS,585.66,Staff - Operational requirement
11/03/2015,FRANCOTYP,956.00,Telecommunications
03/03/2015,YAHIRE LTD,510.00,Office Supplies
20/03/2015,DON RUFFLES LTD,538.80,Estates - Industrial supplies/equipment
11/03/2015,SCREWFIX DIRECT,547.65,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
10/03/2015,LESCO PRODUCTS LTD,953.37,Security Equipment 
16/03/2015,COLIN SMAILS LTD,733.08,Prison -Operational items
16/03/2015,BRITTAINS GARAGE,691.70,Vehicle - New or Repairs and Maintenance
09/03/2015,PETERLEE FIRE,810.10,Health and Safety Supplies - Fire
17/03/2015,PAMMENTER & PETRIE,879.00,Staff - Operational requirement
18/03/2015,WESTERN AUTOMATION,1000.00,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
04/03/2015,BRAMLEY GLASS,900.00,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
04/03/2015,FREELANCE OFFSET SERVI,748.80,Estates - Services for Building/Electrical/Plumbing
17/03/2015,JOHN ELTON (LEICEST) L,811.85,Vehicle - MOT & Service
16/03/2015,BSS LEICESTER,613.54,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
17/03/2015,THE INSERT COMPANY (UK,999.60,Estates - Industrial supplies/equipment
18/03/2015,THE WORKS,954.41,Educational/Learning/Training - Equipment or Supplies
03/03/2015,SELF DRIVE VEHICLE HIR,540.00,Vehicle - New or Repairs and Maintenance
27/03/2015,PLUMB CENTER NS,814.68,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
25/03/2015,WWW.ZIGGYART.CO.UK,608.75,Estates - Services for Building/Electrical/Plumbing
18/03/2015,MERSEYSIDE SATELLITES,594.00,Prison -Operational items
13/03/2015,POTTERTON COMMERCIAL,811.75,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
23/03/2015,IMC,685.80,Estates - Industrial supplies/equipment
12/03/2015,BLINDZ HOME INTERIORS,1687.56,Estates - Services for Building/Electrical/Plumbing
12/03/2015,WILLOWS WAGS & WISKERS,516.00,Dogs - Kenneling for Prison Service (Sniffer Dogs)
03/03/2015,LIGHT CREDIT LTD,1852.80,Estates - Services for Building/Electrical/Plumbing
19/03/2015,Amazon UK Marketplace,779.00,Educational/Learning/Training - Equipment or Supplies
20/03/2015,TIR TRAINING,500.00,"Educational/Learning/Training - Offender Costs (Registration, Certification etc)"
19/03/2015,WICKES BUILDING,579.59,Estates - Services for Building/Electrical/Plumbing
13/03/2015,MAS SEEDS LTD,500.00,Items for offender workshops/industries
25/03/2015,WATFORD TIMBER CO LTD,671.03,Prison -Operational items
25/03/2015,WRIGGLESWORTHS GARAGE,550.48,Vehicle - New or Repairs and Maintenance
20/03/2015,AVG WWW.AVG.COM,557.59,ICT - software
10/03/2015,TAYLORS OF BOSTON - FO,931.37,Vehicle - New or Repairs and Maintenance
10/03/2015,TAYLORS OF BOSTON - FO,961.89,Vehicle - New or Repairs and Maintenance
04/03/2015,ARGOS DIRECT,508.93,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
16/03/2015,FLAMESKILL LIMITED,886.80,Health and Safety Supplies - Fire
13/03/2015,TEXTMAGIC,600.00,Text messaging service (HMP) to notify staff
11/03/2015,VALUE PRODUCTS LTD,756.00,Security Equipment 
11/03/2015,VALUE PRODUCTS LTD,756.00,Security Equipment 
02/03/2015,WWW.OFFICEFURNITUREONL,680.40,Health and Safety Supplies
02/03/2015,MERRILL LEGAL SOLUTION,778.76,Professional Subscriptions and Membership Fees
04/03/2015,TIMCOM,624.00,Professional Subscriptions and Membership Fees
18/03/2015,BS STOKE,786.10,Vehicle - MOT & Service
25/03/2015,MAPLIN ROTHERHAM S63,936.90,Electronic Equipment
24/03/2015,WYBONE LTD,714.00,Prison -Operational items
19/03/2015,KENNELS & CATTERY,729.12,Dogs - Kenneling for Prison Service (Sniffer Dogs)
18/03/2015,MAPLIN ROTHERHAM S63,924.41,Electronic Equipment
16/03/2015,LONDON TROPHY COMPANY,591.60,Educational/Learning/Training - Equipment or Supplies
13/03/2015,MAPLIN ROTHERHAM S63,936.90,Electronic Equipment
13/03/2015,WWW.NEOPOST.CO.UK,772.50,Stationery
13/03/2015,MAPLIN ROTHERHAM S63,690.00,Electronic Equipment
06/03/2015,Amazon UK Marketplace,820.47,Educational/Learning/Training - Equipment or Supplies
05/03/2015,CIVIL SERVICE LEARNING,764.40,Educational/Learning/Training - Equipment or Supplies
05/03/2015,"Amazon Svcs Europe,SAR",639.96,Educational/Learning/Training - Equipment or Supplies
12/03/2015,TRAVIS PERKINS,627.54,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
06/03/2015,BRANDON HIRE 074,682.74,Estates - Industrial supplies/equipment
31/03/2015,ANIMED DIRECT,1103.70,Dogs - Vet Treatment Prison Service (Sniffer Dogs)
30/03/2015,WWW.MY.CHUBB.CO.UK,1571.35,Health and Safety Supplies - Fire
30/03/2015,WWW.MY.CHUBB.CO.UK,1593.84,Estates - Services for Building/Electrical/Plumbing
27/03/2015,WWW..MANCHESTER.AC.UK,750.00,Staff Training
