Residuos Urbanos de las e-DMAs E-PRTR 2012;;;;;;;;;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;CNAE'09;CNAE Ppal;E-PRTR;E-PRTR Ppal;SNAP;SNAP Ppal;LER;Descripción LER;7 tablas;Tipo Residuo;Cantidad;Unidad
2012;B20435301;ARCELORMITTAL GIPUZKOA;2000001648;ARCELORMITTAL BERGARA, S.A.;Bergara;2410;1;2.b;1;040207;1;200138;Madera distinta de la especificada en el código 20 01 37;R13;Urbano;3380;KG
2012;B20435301;ARCELORMITTAL GIPUZKOA;2000001648;ARCELORMITTAL BERGARA, S.A.;Bergara;2410;1;2.b;1;040207;1;200101;Papel y cartón;R13;Urbano;3380;KG
2012;A20094769;AVICOLA GORROTXATEGI;2000003014;AVICOLA GORROTXATEGI S.A.;Idiazabal;0147;1;7.a.i;1;100408;1;200301;Mezclas de residuos municipales;R13;Urbano;17000;KG
2012;B20481636;AVICOLA SAN BLAS;2000002896;AVICOLA SAN BLAS, S.L.;Idiazabal;0147;1;7.a.i;1;100408;1;200301;Mezclas de residuos municipales;R13;Urbano;1700;KG
2012;A20001020;CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES;2000000096;CAF-BEASAIN;Beasain;2910;1;2.b;1;040207;1;200108;Residuos biodegradables de cocinas y restaurantes;R13;Urbano;175000;KG
2012;B20814398;CALERA DE ALZO;2000001726;CALERA DE ALZO-ALZO;Altzo;2352;1;3.c.iii;1;030204;1;150105;Envases compuestos;R13;Urbano;0;KG
2012;B20814398;CALERA DE ALZO;2000001726;CALERA DE ALZO-ALZO;Altzo;2352;1;3.c.iii;1;030204;1;030308;Residuos procedentes de la clasificación de papel y cartón destinados al reciclado;R1;Urbano;0;KG
2012;B20879680;CORRUGADOS AZPEITIA;2000000168;CORRUGADOS AZPEITIA;Azpeitia;2410;1;2.b;1;040207;1;191201;Papel y cartón;R13;Urbano;5000;KG
2012;F20048351;EDERFIL, KOOP.E.;2000000943;EDERFIL, KOOP.E.;Legorreta;2434;1;9.c;1;060105;1;200108;Residuos biodegradables de cocinas y restaurantes;D12;Urbano;0;KG
2012;A20025672;ELECTROQUIMICA DE HERNANI;2000000223;ELECTROQUIMICA DE HERNANI;Hernani;2013;1;4.b.i;1;040413;1;200301;Mezclas de residuos municipales;D12;Urbano;0;KG
2012;B20675518;ESNELAT;2000007255;ESNELAT, S.L.;Urnieta;1054;1;8.c;1;100904;1;150103;Envases de madera;R13;Urbano;450000;KG
2012;B20675518;ESNELAT;2000007255;ESNELAT, S.L.;Urnieta;1054;1;8.c;1;100904;1;150101;Envases de papel y cartón;R13;Urbano;324000;KG
2012;B20675518;ESNELAT;2000007255;ESNELAT, S.L.;Urnieta;1054;1;8.c;1;100904;1;150102;Envases de plástico;R13;Urbano;57000;KG
2012;B20675518;ESNELAT;2000007255;ESNELAT, S.L.;Urnieta;1054;1;8.c;1;100904;1;200301;Mezclas de residuos municipales;R13;Urbano;45000;KG
2012;B20675518;ESNELAT;2000007255;ESNELAT, S.L.;Urnieta;1054;1;8.c;1;100904;1;200101;Papel y cartón;R13;Urbano;251000;KG
2012;A20014064;FERALCO IBERIA;2000019745;FERALCO IBERIA - LEABURU;Leaburu;2013;1;4.b.iv;1;040416;1;150101;Envases de papel y cartón;R13;Urbano;102;KG
2012;B20554440;GALVANIZADOS MERCHANTE;2000000702;GALVANIZADOS MERCHANTE;Aretxabaleta;2561;1;2.f;1;040308;1;110199;Residuos no especificados en otra categoría;-//D1//-//-//-//-//-;Urbano;6250;KG
2012;A20060075;GALVANIZADOS OLAIZOLA;2000000299;GALVANIZADOS OLAIZOLA, S.A.;Zumaia;2561;1;2.c.iii;1;040308;1;200301;Mezclas de residuos municipales;D2;Urbano;11000;KG
