X,Y,OBJECTID,Cuadricula,GSM_up,GSM_down,UMTS,Latitud,Longitud,Fecha,DDLat,DDLon,GSM,UMTS_1
222364.358896846,3191676.0254327,38,0,-74,-67,-104,28 49 22N,017 50 42W,2013/12/07 00:00:00+00,"28,82278N","017,84500W",GPRS y GSM,Nivel correcto
223014.491455946,3191629.65494183,39,0,-69,-64,-109,28 49 21N,017 50 18W,2013/12/07 00:00:00+00,"28,82250N","017,83833W",GPRS y GSM,Dificultad en la comunicación
225285.952143762,3191298.27802567,40,0,-74,-69,-106,28 49 12N,017 48 54W,2013/12/07 00:00:00+00,"28,82000N","017,81500W",GPRS y GSM,Dificultad en la comunicación
225880.404373147,3191191.76754671,41,0,-84,-69,-104,28 49 09N,017 48 32W,2013/12/17 00:00:00+00,"28,81917N","017,80889W",GPRS y GSM,Nivel correcto
226896.906788534,3191722.37719807,42,0,-64,-99,-104,28 49 27N,017 47 55W,2013/12/17 00:00:00+00,"28,82417N","017,79861W",GPRS y GSM,Nivel correcto
228440.497847182,3191593.66715078,43,0,-64,-69,-104,28 49 24N,017 46 58W,2013/12/17 00:00:00+00,"28,82333N","017,78278W",GPRS y GSM,Nivel correcto
229353.181011855,3191171.77466361,44,0,-64,-64,-104,28 49 11N,017 46 24W,2013/12/17 00:00:00+00,"28,81972N","017,77333W",GPRS y GSM,Nivel correcto
211418.012836077,3191265.51340649,45,0,-94,-100,-109,28 48 60N,017 57 25W,2013/12/05 00:00:00+00,"28,81667N","017,95694W",GPRS y GSM,Dificultad en la comunicación
211758.353829479,3190763.99430848,46,0,-84,-84,-104,28 48 44N,017 57 12W,2013/12/05 00:00:00+00,"28,81222N","017,95333W",GPRS y GSM,Nivel correcto
211979.934439827,3190943.3804519,47,0,-84,-84,-104,28 48 50N,017 57 04W,2013/12/05 00:00:00+00,"28,81389N","017,95111W",GPRS y GSM,Nivel correcto
212813.471194334,3191723.89913818,48,0,-94,-89,-109,28 49 16N,017 56 34W,2013/12/06 00:00:00+00,"28,82111N","017,94278W",GPRS y GSM,Dificultad en la comunicación
212695.061333611,3191326.23397379,49,0,-99,-89,-109,28 49 03N,017 56 38W,2013/12/06 00:00:00+00,"28,81750N","017,94389W",GPRS y GSM,Dificultad en la comunicación
215241.507133216,3191140.13257682,50,0,-69,-74,-94,28 48 59N,017 55 04W,2013/12/06 00:00:00+00,"28,81639N","017,91778W",GPRS y GSM,Nivel correcto
216677.471243767,3191043.31509868,51,0,-74,-94,-110,28 48 57N,017 54 11W,2013/12/07 00:00:00+00,"28,81583N","017,90306W",GPRS y GSM,Dificultad en la comunicación
217400.111987165,3189515.78730256,52,0,-82,-99,-110,28 48 08N,017 53 43W,2013/12/07 00:00:00+00,"28,80222N","017,89528W",GPRS y GSM,Dificultad en la comunicación
218359.035622274,3191002.33495794,53,0,-74,-89,-108,28 48 57N,017 53 09W,2013/12/07 00:00:00+00,"28,81583N","017,88583W",GPRS y GSM,Dificultad en la comunicación
221013.258454398,3190784.08268775,54,0,-84,-89,-108,28 48 52N,017 51 31W,2013/12/07 00:00:00+00,"28,81444N","017,85861W",GPRS y GSM,Dificultad en la comunicación
221011.035041776,3190691.6970725,55,0,-114,-109,-114,28 48 49N,017 51 31W,2013/12/07 00:00:00+00,"28,81361N","017,85861W",no GPRS y no GSM,Nivel insuficiente
219696.840793036,3189090.29117508,56,0,-94,-104,-114,28 47 56N,017 52 18W,2013/12/07 00:00:00+00,"28,79889N","017,87167W",no GPRS y dificultad GSM,Nivel insuficiente
222864.90274567,3191047.79269669,57,0,-94,-104,-109,28 49 02N,017 50 23W,2013/12/07 00:00:00+00,"28,81722N","017,83972W",no GPRS y dificultad GSM,Dificultad en la comunicación
222093.163038708,3191682.52606133,58,0,-94,-92,-114,28 49 22N,017 50 52W,2013/12/07 00:00:00+00,"28,82278N","017,84778W",GPRS y GSM,Nivel insuficiente
222868.584329764,3191201.76742867,59,0,-94,-104,-114,28 49 07N,017 50 23W,2013/12/07 00:00:00+00,"28,81861N","017,83972W",no GPRS y dificultad GSM,Nivel insuficiente
226430.3031799,3190346.86250916,60,0,-74,-89,-104,28 48 42N,017 48 11W,2013/12/17 00:00:00+00,"28,81167N","017,80306W",GPRS y GSM,Nivel correcto
