Año,Mes,Descripcion Centro,Organismo,Numero Contrato,Numero Expediente,Descripcion Contrato,Tipo Contrato,Procedimiento Adjudicacion,Articulo,Apartado,Criterios Adjudicacion,Presupuesto Total(IVA Incluido),Importe Adjudicacion (IVA Incluido),Plazo,Fecha Adjudicacion,Nombre/Razon Social,NIF/CIF Adjudicatario,Fecha Formalizacion,Tiene acuerdo Marco,Tiene ingreso/coste cero,Adjudicado por precios unitarios
2020,Junio,Ayuntamiento De Madrid,Distrito De Villaverde,202000583,300/2019/00940,programa de convivencia social del distrito de villaverde que conlleva prestaciones directas a favor de la ciudadania,Servicios,Abierto,,,Pluralidad de criterios,599819.9,540666.82,24,2020-03-27T00:00:00Z,Provivienda,G79408696,2020-04-30T00:00:00Z,false,false,false
2020,Junio,Empresas,"Madrid Destino, Cultura, Turismo Y Negocio, S.A.",202000584,MDC/2020/00041,obras de rehabilitacion integral del pabellon de convenciones del recinto ferial de la casa de campo - fase ii,Obras,Abierto simplificado,,,Pluralidad de criterios,991735.54,869752.07,9,2020-06-03T00:00:00Z,Ute Pab. Convenciones (cotodisa - Fdz.Molina),U88610233,2020-04-27T00:00:00Z,false,false,false
2020,Junio,Ayuntamiento De Madrid,Distrito De Retiro,202000585,103/2020/01319,proporcionar manutencion consistente en cestas de compra con productos de primera necesidad para unidades de convivencia en situacion de vulnerabilidad como consecuencia del covid 19,Suministro,Tramitacon Emergencia,,,,150000.0,150000.0,1,2020-08-05T00:00:00Z,"Supermercados Hiber, Sa",A28571750,2020-05-19T00:00:00Z,false,false,false
2020,Junio,Empresas,"Empresa Municipal De Servicios Funerarios Y Cementerios De Madrid, S.A.",202000586,SFC/2019/00048,"suministro de mobiliario, sillas de oficina y equipamiento en general para los centros de trabajo de la emsfycm, s.a.",Suministro,Abierto simplificado,,,Un unico criterio,33207.81,33207.81,12,2020-02-27T00:00:00Z,"Oficaceres, S.L.",B10065837,2020-03-16T00:00:00Z,false,false,false
2020,Junio,Empresas,"Empresa Municipal De Servicios Funerarios Y Cementerios De Madrid, S.A.",202000587,SFC/2019/00032,suministro de fundas de recogida biodegradable (sudarios). lote 1.,Suministro,Abierto,,,Pluralidad de criterios,50578.0,50578.0,12,2020-03-03T00:00:00Z,"Hygeco Espaa, S.A.",A59892414,2020-03-16T00:00:00Z,false,false,false
2020,Junio,Empresas,"Empresa Municipal De Servicios Funerarios Y Cementerios De Madrid, S.A.",202000588,SFC/2019/00032,lote 3 - suministro de producto desodorizante/higienizante,Suministro,Abierto,,,Pluralidad de criterios,1782.94,1782.94,12,2020-03-03T00:00:00Z,"Ramon Chao, S.L.",B46263745,2020-03-16T00:00:00Z,false,false,false
2020,Junio,Empresas,"Empresa Municipal De Servicios Funerarios Y Cementerios De Madrid, S.A.",202000589,SFC/2019/00061,"mantenimiento de los sistemas de control, mediante acciones preventivas y correctivas, de los equipos e instalaciones de climatizacion del tanatorio sur de madrid de la emsfycm, s.a.",Servicios,Negociado sin publicidad,168,a) apartado 2,,46090.29,44917.06,24,2020-03-18T00:00:00Z,"Siemens, S.A.",A28006377,2020-01-04T00:00:00Z,false,false,false
2020,Junio,Ayuntamiento De Madrid,Rea De Gobierno De Medio Ambiente Y Movilidad,202000590,300/2019/00599,ifs 2019 remodelacion de la plaza de nueva orleans. distrito de ciudad lineal,Obras,Abierto simplificado,,,Pluralidad de criterios,834998.62,572308.05,5,2020-10-03T00:00:00Z,"Acciona Medio Ambiente, S.A.U.",A46609541,2020-04-27T00:00:00Z,false,false,false
2020,Junio,Empresas,"Empresa Mixta Club De Campo Villa De Madrid, S.A.",202000591,CCV/2020/00725,"suministro de semillas necesarias para el ccvm, sa",Suministro,Abierto,,,Pluralidad de criterios,124520.0,99304.7,24,2020-11-03T00:00:00Z,Semillas Dalmau S.L.,A96672571,2020-01-04T00:00:00Z,false,false,false
2020,Junio,Empresas,Empresa Municipal De Transportes S.A.,202000592,EMT/2020/00022,servicio de desinfeccion de la flota de aubuses de la emt de madrid (emergencia) - lote 1,Servicios,Tramitacon Emergencia,,,,29169.71,29169.71,0.56,2020-11-03T00:00:00Z,"Rades D.D.D., S.L.",B80873227,2020-04-27T00:00:00Z,false,false,false
2020,Junio,Empresas,Empresa Municipal De Transportes S.A.,202000593,EMT/2020/00022,servicio de desinfeccion de la flota de aubuses de la emt de madrid (emergencia) - lote 2,Servicios,Tramitacon Emergencia,,,,20338.89,20338.89,0.56,2020-11-03T00:00:00Z,Servicios Comunitarios S.A.,A28410207,2020-03-05T00:00:00Z,false,false,false
2020,Junio,Empresas,Empresa Municipal De Transportes S.A.,202000594,EMT/2020/00022,servicio de desinfeccion de la flota de aubuses de la emt de madrid (emergencia) - lote 3,Servicios,Tramitacon Emergencia,,,,51378.58,51378.58,0.56,2020-11-03T00:00:00Z,"Prevencion Y Control De Plagas, S.L.",B79950242,2020-03-05T00:00:00Z,false,false,false
2020,Junio,Ayuntamiento De Madrid,Distrito De Centro,202000595,101/2020/01928,contrato de prestacion del servicio de elaboracion y entrega a domicilio de comidas para personas vulnerables como consecuencia de las medidas extraordinarias adoptadas para la contencion del covid-19. tramitacion de emergencia,Servicios,Tramitacon Emergencia,,,,202515.5,202515.5,3.1,2020-03-17T00:00:00Z,Comedores Bedmar; Sl.,B80232572,2020-05-06T00:00:00Z,false,false,false
2020,Junio,Ayuntamiento De Madrid,Rea De Gobierno De Medio Ambiente Y Movilidad,202000596,300/2019/00582,ifs 2019 rehabilitacion integral del parque cua verde de latina (fase i),Obras,Abierto simplificado,,,Pluralidad de criterios,779353.72,507857.74,6,2020-09-03T00:00:00Z,"Valoriza Servicios Medioambientales, S. A.",A28760692,2020-04-27T00:00:00Z,false,false,false
2020,Junio,Empresas,Empresa Municipal De Transportes S.A.,202000597,EMT/2020/00024,suministro de liquido desinfectante con eficacia contra el coronavirus (emergencia),Suministro,Tramitacon Emergencia,,,,5196.95,5196.95,0.33,2020-03-13T00:00:00Z,"Alcaner 2000, S.L.U.",B81952913,2020-04-27T00:00:00Z,false,false,false
2020,Junio,Empresas,Empresa Municipal De Transportes S.A.,202000598,EMT/2020/00026,suministro de gel hidroalcoholico para desinfeccion de manos (emergencia),Suministro,Tramitacon Emergencia,,,,2910.17,2910.17,0.33,2020-03-13T00:00:00Z,"Alcaner 2000, S.L.U.",B81952913,2020-04-27T00:00:00Z,false,false,false
2020,Junio,Empresas,"Empresa Municipal De Servicios Funerarios Y Cementerios De Madrid, S.A.",202000599,SFC/2019/00062,"suministro de tapas de poliestireno para nichos y columbarios, asi como la fabricacion de los moldes de dichas tapas para la emsfycm, s.a.",Suministro,Abierto,,,Pluralidad de criterios,122368.26,122368.26,12,2020-04-23T00:00:00Z,"Plasty, S.A.",A28184091,2020-05-19T00:00:00Z,false,false,false
2020,Junio,Empresas,"Madrid Destino, Cultura, Turismo Y Negocio, S.A.",202000600,MDC/2020/00009,contratacion de la poliza de responsabilidad civil general de madrid destino,Servicios,Abierto simplificado,,,Pluralidad de criterios,100000.0,70018.0,11.5,2019-12-19T00:00:00Z,"Segurcaixa Adeslas, S.A.",A28011864,2020-01-15T00:00:00Z,false,false,false
