Site,Account,Cost 2015/16,Cost 2016/17,Consumption 2015/16,Consumption 2016/17
Primary School - Greenmount  ,Electricity - 10012169,"£12,425.27","£11,541.68","101,573","86,714"
Primary School - Greenside   ,Electricity - 10002408,"£13,879.30","£12,574.92","118,055","100,795"
Primary School - Grimes Dyke  ,Electricity - 10008573,"£7,667.71","£6,566.11","58,031","50,747"
Primary School - Grimes Dyke  ,Electricity - 10008574,"£9,921.20","£8,520.91","75,886","65,411"
Primary School - Guiseley Infant  ,Electricity - 10007544,"£14,241.39","£10,771.56","104,883","83,325"
Primary School - Guiseley Infant  ,Electricity - 10124622,,"£7,048.65",,"37,184"
Primary School - Harehills   ,Electricity - 10002414,"£21,276.22","£20,749.34","184,960","160,847"
Primary School - Harewood Church of England  ,Electricity - 10008754,"£4,043.25","£3,702.26","36,446","34,169"
Primary School - Hawksworth Church of England  ,Electricity - 10007553,"£5,936.31","£3,879.30","43,522","35,938"
Primary School - Hawksworth Wood  ,Electricity - 10012088,"£12,915.49","£11,875.44","93,053","87,886"
Primary School - Highfield  ,Electricity - 10140913,"£1,797.99",£793.87,"13,339","6,036"
Primary School - Highfield  ,Electricity - 10002848,"£16,695.21","£16,056.05","130,763","120,864"
Primary School - Hollybush  ,Electricity - 10002425,"£19,783.79","£19,626.06","169,001","149,584"
Primary School - Hollybush  ,Electricity - 10140805,"£2,499.79",£841.81,"17,698","6,289"
Primary School - Holy Family Catholic Primary and Nursery  ,Electricity - 10007751,"£1,750.76","£5,683.82","15,686","52,789"
Primary School - Holy Name Roman Catholic  ,Electricity - 10008976,"£2,618.64",,"20,108",
Primary School - Holy Rosary and St Annes Roman Catholic Primary and Nursery  ,Electricity - 10008369,"£11,659.63","£7,334.18","102,846","68,284"
Primary School - Holy Rosary and St Annes Roman Catholic Primary and Nursery  ,Electricity - 10008368,£125.46,£187.28,621,"1,282"
Primary School - Holy Trinity Church of England  ,Electricity - 10008015,"£13,202.89","£11,236.40","112,542","104,746"
Primary School - Horsforth Featherbank Infants  ,Electricity - 10007481,"£6,191.90","£5,521.51","45,410","42,567"
Primary School - Horsforth Newlaithes Junior  ,Electricity - 10002597,"£13,791.19","£13,729.18","106,873","97,281"
Primary School - Horsforth Newlaithes Junior  ,Electricity - 10007475,£73.56,£98.27,295,464
Primary School - Hovingham  ,Electricity - 10003088,"£17,697.94","£18,232.40","148,488","128,102"
Primary School - Hugh Gaitskell   ,Electricity - 10002382,"£25,536.51","£22,163.03","239,524","202,439"
Primary School - Hunslet Carr  ,Electricity - 10012252,"£14,537.50","£12,912.07","117,764","97,039"
Primary School - Hunslet Carr  ,Electricity - 10140778,"£1,312.54","£1,399.41","10,197","10,550"
Primary School - Hunslet Carr  ,Electricity - 10008672,£201.44,£389.82,"1,467","3,075"
Primary School - Hunslet Moor  ,Electricity - 10012078,"£9,174.34","£7,363.10","65,788","53,468"
Primary School - Hunslet Moor  ,Electricity - 10008764,£142.17,£227.37,930,"1,543"
Primary School - Hunslet St Marys Church of England  ,Electricity - 10012168,"£9,267.81","£8,564.49","80,225","77,184"
Primary School - Hunslet St Marys Church of England  ,Electricity - 10009429,£842.37,"£1,709.12","5,544","11,810"
Primary School - Immaculate Heart of Mary Roman Catholic  ,Electricity - 10008294,"£3,075.30","£2,537.23","25,610","23,402"
Primary School - Immaculate Heart of Mary Roman Catholic  ,Electricity - 10008295,"£10,665.39","£8,507.24","94,308","79,702"
Primary School - Ingram Road  ,Electricity - 10009069,"£13,349.86","£12,958.80","106,037","102,078"
Primary School - Ireland Wood  ,Electricity - 10002981,"£18,754.91","£17,325.09","173,798","159,573"
Primary School - Iveson  ,Electricity - 10140755,"£8,886.06","£8,991.85","77,017","78,232"
Primary School - Kerr Mackie  ,Electricity - 10012108,"£17,315.11","£14,561.51","137,969","106,535"
Primary School - Kippax Greenfield  ,Electricity - 10008612,"£7,631.14","£2,992.69","69,224","27,660"
Primary School - Kippax North Junior and Infant  ,Electricity - 10009042,"£3,164.80","£1,144.88","28,993","10,535"
Primary School - Kippax North Junior and Infant  ,Electricity - 10009043,"£4,048.04","£1,697.59","37,786","15,943"
Primary School - Kippax North Junior and Infant  ,Electricity - 10008615,£461.00,£132.97,"3,715","1,040"
Primary School - Kippax North Junior and Infant  ,Electricity - 10009212,£990.23,£418.13,"12,976","5,754"
Primary School - Kippax North Junior and Infant  ,Electricity - 10009426,,£9.81,,5
Primary School - Kirkstall St Stephens Church of England  ,Electricity - 10007895,"£10,895.74","£9,053.06","90,498","84,484"
Primary School - Kirkstall Valley  ,Electricity - 10009075,"£9,431.86","£8,398.94","72,408","65,292"
Primary School - Lady Elizabeth Hastings Church of England - Collingham   ,Electricity - 10008482,"£5,599.08","£5,503.94","49,141","51,023"
Primary School - Lady Elizabeth Hastings Church of England - Collingham   ,Electricity - 10009020,£34.40,£14.61,0,12
Primary School - Lady Elizabeth Hastings Church of England - Ledston  ,Electricity - 10009030,"£4,650.83","£2,530.57","42,664","23,509"
Primary School - Lady Elizabeth Hastings Church of England - Thorp Arch   ,Electricity - 10008512,"£5,267.45","£4,211.56","46,246","39,068"
Primary School - Lane End  ,Electricity - 10004844,"£7,667.61","£14,851.24","70,058","119,455"
Primary School - Lawns Park  ,Electricity - 10008950,"£10,458.53","£10,196.21","82,766","78,449"
Primary School - Little London Community   ,Electricity - 10012079,"£16,722.81","£11,887.06","131,683","107,357"
Primary School - Little London Community   ,Electricity - 10004929,"£7,699.98","£14,383.79","52,960","76,132"
Primary School - Low Road  ,Electricity - 10008662,"£9,941.64","£9,350.11","75,286","72,427"
Primary School - Manston  ,Electricity - 10009045,"£11,364.50","£5,758.18","89,645","45,221"
Primary School - Meadowfield   ,Electricity - 10002419,"£18,833.91","£19,072.67","167,315","171,137"
